,-no-flag,-adce,-always-inline,-argpromotion,-break-crit-edges,-codegenprepare,-constmerge,-dce,-deadargelim,-dse,-function-attrs,-globaldce,-globalopt,-gvn,-indvars,-inline,-instcombine,-aggressive-instcombine,-ipsccp,-jump-threading,-lcssa,-licm,-loop-deletion,-loop-extract,-loop-extract-single,-loop-reduce,-loop-rotate,-loop-simplify,-loop-unroll,-loop-unroll-and-jam,-loweratomic,-lowerinvoke,-lowerswitch,-mem2reg,-memcpyopt,-mergefunc,-mergereturn,-partial-inliner,-reassociate,-reg2mem,-sroa,-sccp,-simplifycfg,-sink,-strip,-strip-dead-debug-info,-strip-dead-prototypes,-strip-debug-declare,-strip-nondebug,-tailcallelim
csmith_65.bc,16744,16744,16744,16744,16744,16744,16744,16744,16744,16744,16744,16744,16744,16744,16744,16744,16744,16744,16744,16744,16744,16744,16744,16744,16744,16744,16744,16744,16744,16744,16744,16744,16744,16744,16744,16744,16744,16744,16744,16744,16744,16744,16744,16744,16760,16744,16744,16744,16760,16744
csmith_66.bc,33512,33512,33512,33512,33512,33512,33512,33512,33512,33512,33512,33512,31352,33512,33512,33512,33512,33512,32200,33512,33512,33512,33512,33512,33512,33512,33512,33512,33512,33512,33512,33512,33512,33512,33512,33512,33512,33512,33512,33512,33512,33512,33512,33512,34112,33512,33512,33512,34112,33512
csmith_67.bc,109808,109808,109808,109808,109808,109808,109760,109808,109808,109808,109808,109760,107936,109808,109808,109808,109808,109808,109360,109808,109808,109808,109808,109808,109808,109808,109808,109808,109808,109808,109808,109808,109808,109808,109808,109808,109808,109808,109808,109808,109808,109808,109808,109808,109760,109808,109808,109808,109760,109808
csmith_68.bc,31256,31256,31256,31256,31256,31256,31256,31256,31256,31256,31256,31256,30424,31256,31256,31256,31256,31256,30792,31256,31256,31256,31256,31256,31256,31256,31256,31256,31256,31256,31256,31256,31256,31256,31256,31256,31256,31256,31256,31256,31256,31256,31256,31256,31680,31256,31256,31256,31680,31256
csmith_69.bc,16496,16496,16496,16496,16496,16496,16496,16496,16496,16496,16496,16496,16448,16496,16496,16496,16496,16496,16456,16496,16496,16496,16496,16496,16496,16496,16496,16496,16496,16496,16496,16496,16496,16496,16496,16496,16496,16496,16496,16496,16496,16496,16496,16496,16520,16496,16496,16496,16520,16496
csmith_70.bc,217720,217720,217720,217720,217720,217720,217720,217720,217720,217720,217720,217720,215376,217720,217720,217720,217720,217720,213280,217720,217720,217720,217720,217720,217720,217720,217720,217720,217720,217720,217720,217720,217720,217720,217720,217720,217720,217720,217720,217720,217720,217720,217720,217720,218464,217720,217720,217720,218464,217720
csmith_71.bc,157872,157872,157872,157872,157872,157872,157872,157872,157872,157872,157872,157872,153000,157872,157872,157872,157872,157872,149480,157872,157872,157872,157872,157872,157872,157872,157872,157872,157872,157872,157872,157872,157872,157872,157872,157872,157872,157872,157872,157872,157872,157872,157872,157872,157752,157872,157872,157872,157752,157872
csmith_72.bc,47672,47672,47672,47672,47672,47672,47672,47672,47672,47672,47672,47672,40968,47672,47672,47672,47672,47672,42472,47672,47672,47672,47672,47672,47672,47672,47672,47672,47672,47672,47672,47672,47672,47672,47672,47672,47672,47672,47672,47672,47672,47672,47672,47672,48216,47672,47672,47672,48216,47672
csmith_73.bc,29648,29648,29648,29648,29648,29648,29648,29648,29648,29648,29648,29648,27144,29648,29648,29648,29648,29648,28840,29648,29648,29648,29648,29648,29648,29648,29648,29648,29648,29648,29648,29648,29648,29648,29648,29648,29648,29648,29648,29648,29648,29648,29648,29648,30096,29648,29648,29648,30096,29648
csmith_74.bc,37560,37560,37560,37560,37560,37560,37560,37560,37560,37560,37560,37560,35824,37560,37560,37560,37560,37560,36808,37560,37560,37560,37560,37560,37560,37560,37560,37560,37560,37560,37560,37560,37560,37560,37560,37560,37560,37560,37560,37560,37560,37560,37560,37560,38184,37560,37560,37560,38184,37560
csmith_75.bc,130672,130672,130672,130672,130672,130672,130640,130672,130672,130672,130672,130640,131432,130672,130672,130672,130672,130672,129648,130672,130672,130672,130672,130672,130672,130672,130672,130672,130672,130672,130672,130672,130672,130672,130672,130672,130672,130672,130672,130672,130672,130672,130672,130672,130928,130672,130672,130672,130928,130672
csmith_76.bc,41992,41992,41992,41992,41992,41992,41992,41992,41992,41992,41992,41992,36912,41992,41992,41992,41992,41992,41240,41992,41992,41992,41992,41992,41992,41992,41992,41992,41992,41992,41992,41992,41992,41992,41992,41992,41992,41992,41992,41992,41992,41992,41992,41992,42752,41992,41992,41992,42752,41992
csmith_77.bc,35368,35368,35368,35368,35368,35368,35368,35368,35368,35368,35368,35368,34184,35368,35368,35368,35368,35368,34728,35368,35368,35368,35368,35368,35368,35368,35368,35368,35368,35368,35368,35368,35368,35368,35368,35368,35368,35368,35368,35368,35368,35368,35368,35368,36008,35368,35368,35368,36008,35368
csmith_78.bc,166576,166576,166576,166576,166576,166576,158352,166576,166576,166576,166576,158352,156912,166576,166576,166576,166576,166576,165624,166576,166576,166576,166576,166576,166576,166576,166576,166576,166576,166576,166576,166576,166576,166576,166576,166576,166576,166576,166576,166576,166576,166576,166576,166576,168136,166576,166576,166576,168136,166576
