,-no-flag,-adce,-always-inline,-argpromotion,-break-crit-edges,-codegenprepare,-constmerge,-dce,-deadargelim,-dse,-function-attrs,-globaldce,-globalopt,-gvn,-indvars,-inline,-instcombine,-aggressive-instcombine,-ipsccp,-jump-threading,-lcssa,-licm,-loop-deletion,-loop-extract,-loop-extract-single,-loop-reduce,-loop-rotate,-loop-simplify,-loop-unroll,-loop-unroll-and-jam,-loweratomic,-lowerinvoke,-lowerswitch,-mem2reg,-memcpyopt,-mergefunc,-mergereturn,-partial-inliner,-reassociate,-reg2mem,-sroa,-sccp,-simplifycfg,-sink,-strip,-strip-dead-debug-info,-strip-dead-prototypes,-strip-debug-declare,-strip-nondebug,-tailcallelim
csmith_133,14168,14184,14168,14168,14152,14168,14168,14184,14168,14184,14168,14168,14168,14184,14168,14184,14168,14152,13928,14168,14184,14184,14168,14168,14152,14168,14168,14168,14168,14152,14168,14168,14168,14168,14168,14168,14168,14152,14168,14168,14184,14184,14168,14184,14184,14152,14152,14152,14168,14168
csmith_134,20952,20968,20952,20952,20936,20952,20952,20968,20952,20968,20952,20952,20952,20968,20952,20968,20952,20936,20904,20952,20968,20968,20952,20952,20936,20952,20952,20952,20952,20936,20952,20952,20952,20952,20952,20952,20952,20936,20952,20952,20968,20968,20952,20968,20968,20936,20936,20936,20952,20952
csmith_135,21592,21608,21592,21592,21640,21592,21592,21608,21592,21608,21592,21592,21592,21608,21592,21608,21592,21640,21480,21592,21608,21608,21592,21592,21640,21592,21592,21592,21592,21640,21592,21592,21592,21592,21592,21592,21592,21640,21592,21592,21608,21608,21592,21608,21608,21640,21640,21640,21592,21592
csmith_136,20248,20248,20248,20248,20248,20248,20248,20248,20248,20248,20248,20248,20248,20248,20248,20248,20248,20248,20216,20248,20248,20248,20248,20248,20248,20248,20248,20248,20248,20248,20248,20248,20248,20248,20248,20248,20248,20248,20248,20248,20248,20248,20248,20248,20248,20248,20248,20248,20248,20248
csmith_137,7736,7736,7736,7736,7736,7736,7736,7736,7736,7736,7736,7736,7736,7736,7736,7736,7736,7736,7736,7736,7736,7736,7736,7736,7736,7736,7736,7736,7736,7736,7736,7736,7736,7736,7736,7736,7736,7736,7736,7736,7736,7736,7736,7736,7736,7736,7736,7736,7736,7736
csmith_138,42024,42024,42024,42024,42024,42024,42024,42024,42024,42024,42024,42024,42008,42024,42024,42024,42024,42024,41640,42024,42024,42024,42024,42024,42024,42024,42024,42024,42024,42024,42024,42024,42024,42024,42024,42024,42024,42024,42024,42024,42024,42024,42024,42024,42024,42024,42024,42024,42024,42024
csmith_139,12792,12792,12792,12792,12792,12792,12792,12792,12792,12792,12792,12792,12792,12792,12792,12792,12792,12792,12776,12792,12792,12792,12792,12792,12792,12792,12792,12792,12792,12792,12792,12792,12792,12792,12792,12792,12792,12792,12792,12792,12792,12792,12792,12792,12792,12792,12792,12792,12792,12792
csmith_14,23720,23720,23720,23720,23720,23720,23720,23720,23720,23720,23720,23720,23640,23720,23720,23720,23720,23720,23544,23720,23720,23720,23720,23720,23720,23720,23720,23720,23720,23720,23720,23720,23720,23720,23720,23720,23720,23720,23720,23720,23720,23720,23720,23720,23720,23720,23720,23720,23720,23720
csmith_140,18584,18536,18584,18584,18568,18584,18584,18536,18584,18536,18584,18584,18584,18536,18584,18536,18584,18568,18536,18584,18536,18536,18584,18584,18568,18584,18584,18584,18584,18568,18584,18584,18584,18584,18584,18584,18584,18568,18584,18584,18536,18536,18584,18536,18536,18568,18568,18568,18584,18584
csmith_141,22680,22696,22680,22680,22728,22680,22680,22696,22680,22696,22680,22680,22552,22696,22680,22696,22680,22728,22504,22680,22696,22696,22680,22680,22728,22680,22680,22680,22680,22728,22680,22680,22680,22680,22680,22680,22680,22728,22680,22680,22696,22696,22680,22696,22696,22728,22728,22728,22680,22680
csmith_142,18768,18768,18768,18768,18768,18768,18768,18768,18768,18768,18768,18768,18768,18768,18768,18768,18768,18768,18672,18768,18768,18768,18768,18768,18768,18768,18768,18768,18768,18768,18768,18768,18768,18768,18768,18768,18768,18768,18768,18768,18768,18768,18768,18768,18768,18768,18768,18768,18768,18768
csmith_143,20808,20808,20808,20808,20808,20808,20808,20808,20808,20808,20808,20808,20808,20808,20808,20808,20808,20808,20760,20808,20808,20808,20808,20808,20808,20808,20808,20808,20808,20808,20808,20808,20808,20808,20808,20808,20808,20808,20808,20808,20808,20808,20808,20808,20808,20808,20808,20808,20808,20808
csmith_144,21064,21064,21064,21064,21064,21064,21064,21064,21064,21064,21064,21064,20984,21064,21064,21064,21064,21064,20952,21064,21064,21064,21064,21064,21064,21064,21064,21064,21064,21064,21064,21064,21064,21064,21064,21064,21064,21064,21064,21064,21064,21064,21064,21064,21064,21064,21064,21064,21064,21064
csmith_145,7736,7736,7736,7736,7736,7736,7736,7736,7736,7736,7736,7736,7736,7736,7736,7736,7736,7736,7736,7736,7736,7736,7736,7736,7736,7736,7736,7736,7736,7736,7736,7736,7736,7736,7736,7736,7736,7736,7736,7736,7736,7736,7736,7736,7736,7736,7736,7736,7736,7736
csmith_146,43416,43432,43416,43416,43464,43416,43416,43432,43416,43432,43416,43416,43416,43432,43416,43432,43416,43464,43368,43416,43432,43432,43416,43416,43464,43416,43416,43416,43416,43464,43416,43416,43416,43416,43416,43416,43416,43464,43416,43416,43432,43432,43416,43432,43432,43464,43464,43464,43416,43416
csmith_147,21704,21704,21704,21704,21704,21704,21704,21704,21704,21704,21704,21704,21576,21704,21704,21704,21704,21704,21544,21704,21704,21704,21704,21704,21704,21704,21704,21704,21704,21704,21704,21704,21704,21704,21704,21704,21704,21704,21704,21704,21704,21704,21704,21704,21704,21704,21704,21704,21704,21704
csmith_148,30296,30312,30296,30296,30344,30296,30296,30312,30296,30312,30296,30296,30232,30312,30296,30312,30296,30344,29800,30296,30312,30312,30296,30296,30344,30296,30296,30296,30296,30344,30296,30296,30296,30296,30296,30296,30296,30344,30296,30296,30312,30312,30296,30312,30312,30344,30344,30344,30296,30296
csmith_149,28904,28904,28904,28904,28904,28904,28904,28904,28904,28904,28904,28904,28776,28904,28904,28904,28904,28904,28728,28904,28904,28904,28904,28904,28904,28904,28904,28904,28904,28904,28904,28904,28904,28904,28904,28904,28904,28904,28904,28904,28904,28904,28904,28904,28904,28904,28904,28904,28904,28904
csmith_15,25624,25624,25624,25624,25624,25624,25624,25624,25624,25624,25624,25624,25608,25624,25624,25624,25624,25624,25560,25624,25624,25624,25624,25624,25624,25624,25624,25624,25624,25624,25624,25624,25624,25624,25624,25624,25624,25624,25624,25624,25624,25624,25624,25624,25624,25624,25624,25624,25624,25624
csmith_150,19672,19688,19672,19672,19720,19672,19672,19688,19672,19688,19672,19672,19672,19688,19672,19688,19672,19720,19624,19672,19688,19688,19672,19672,19720,19672,19672,19672,19672,19720,19672,19672,19672,19672,19672,19672,19672,19720,19672,19672,19688,19688,19672,19688,19688,19720,19720,19720,19672,19672
csmith_151,7736,7736,7736,7736,7736,7736,7736,7736,7736,7736,7736,7736,7736,7736,7736,7736,7736,7736,7736,7736,7736,7736,7736,7736,7736,7736,7736,7736,7736,7736,7736,7736,7736,7736,7736,7736,7736,7736,7736,7736,7736,7736,7736,7736,7736,7736,7736,7736,7736,7736
csmith_152,18776,18776,18776,18776,18776,18776,18776,18776,18776,18776,18776,18776,18696,18776,18776,18776,18776,18776,18632,18776,18776,18776,18776,18776,18776,18776,18776,18776,18776,18776,18776,18776,18776,18776,18776,18776,18776,18776,18776,18776,18776,18776,18776,18776,18776,18776,18776,18776,18776,18776
csmith_153,45848,45864,45848,45848,45832,45848,45848,45864,45848,45864,45848,45848,45848,45864,45848,45864,45848,45832,45736,45848,45864,45864,45848,45848,45832,45848,45848,45848,45848,45832,45848,45848,45848,45848,45848,45848,45848,45832,45848,45848,45864,45864,45848,45864,45864,45832,45832,45832,45848,45848
csmith_154,34168,34168,34168,34168,34168,34168,34168,34168,34168,34168,34168,34168,34072,34168,34168,34168,34168,34168,33960,34168,34168,34168,34168,34168,34168,34168,34168,34168,34168,34168,34168,34168,34168,34168,34168,34168,34168,34168,34168,34168,34168,34168,34168,34168,34168,34168,34168,34168,34168,34168
csmith_155,66840,66856,66840,66840,66888,66840,66840,66856,66840,66856,66840,66840,66840,66856,66840,66856,66840,66888,66600,66840,66856,66856,66840,66840,66888,66840,66840,66840,66840,66888,66840,66840,66840,66840,66840,66840,66840,66888,66840,66840,66856,66856,66840,66856,66856,66888,66888,66888,66840,66840
csmith_156,41664,41664,41664,41664,41664,41664,41664,41664,41664,41664,41664,41664,41664,41664,41664,41664,41664,41664,41480,41664,41664,41664,41664,41664,41664,41664,41664,41664,41664,41664,41664,41664,41664,41664,41664,41664,41664,41664,41664,41664,41664,41664,41664,41664,41664,41664,41664,41664,41664,41664
csmith_157,7736,7736,7736,7736,7736,7736,7736,7736,7736,7736,7736,7736,7736,7736,7736,7736,7736,7736,7736,7736,7736,7736,7736,7736,7736,7736,7736,7736,7736,7736,7736,7736,7736,7736,7736,7736,7736,7736,7736,7736,7736,7736,7736,7736,7736,7736,7736,7736,7736,7736
