,NumGlobalVars,GlobalVarUsage,TotalInsts,TotalBlocks,BlockLow,BlockMid,BlockHigh,TotalFuncs,TotalMemInst,BeginPhi,ArgsPhi,BBNoPhi,BB03Phi,BBHiPhi,BBNumArgsHi,BBNumArgsLo,testUnary,binaryConstArg,callLargeNumArgs,returnInt,oneSuccessor,twoSuccessor,moreSuccessors,onePred,twoPred,morePreds,onePredOneSuc,onePredTwoSuc,twoPredOneSuc,twoEach,moreEach,NumEdges,CriticalCount,BranchCount,numConstOnes,numConstZeroes,const32Bit,const64Bit,UncondBranches,NumLoadInst,NumCallInst,NumInvokeInst,NumAllocaInst,NumStoreInst,NumGetElementPtrInst,NumAShrInst,NumLShrInst,NumShlInst,NumAddInst,NumSubInst,NumMulInst,NumAndInst,NumOrInst,NumXorInst,NumBitCastInst,NumICmpInst,NumSExtInst,NumZExtInst,NumSelectInst
61,2354,3470,26143,1425,1236,183,6,93,17320,135,271,1290,135,0,0,135,12365,1693,0,381,836,500,0,870,419,37,658,209,138,226,0,1836,300,1336,2871,4360,4404,5120,836,7065,2475,0,800,2683,4297,643,19,636,207,29,8,195,62,95,237,845,2749,1187,0
62,1048,3132,32129,2478,2112,359,7,101,20153,266,535,2212,266,0,0,266,13276,1567,0,918,1508,873,0,1557,746,54,1207,348,233,453,0,3254,469,2381,5617,5304,3898,8600,1508,6128,1752,0,1853,5223,5197,236,180,238,367,49,8,544,200,246,290,1845,1606,2204,0
63,2790,3355,23622,1124,974,136,14,91,16202,118,238,1006,118,0,0,118,13063,677,0,276,632,405,0,669,330,34,495,170,104,172,0,1442,265,1037,1885,3719,4205,3035,632,7646,2847,0,819,1715,3175,186,18,181,161,23,8,144,58,84,159,693,2708,1497,0
64,1100,2879,31368,2268,1930,330,8,101,21440,233,475,2035,233,0,0,233,11670,1192,0,750,1379,792,0,1426,674,49,1100,324,218,396,0,2963,432,2171,5877,6804,4722,10339,1379,5693,1687,0,1743,5482,6835,241,53,233,340,39,8,323,146,212,431,1574,1709,1508,0
65,3344,3896,25551,1071,941,122,8,83,15912,81,162,990,81,0,0,81,13469,3176,0,220,627,365,0,651,315,22,500,147,102,163,0,1357,214,992,1433,2602,5104,2473,627,8260,3259,0,584,1365,2444,989,56,985,149,17,7,1013,30,60,268,537,2567,1626,0
66,5305,6862,53615,2246,1853,377,16,101,33136,235,474,2011,235,0,0,235,27166,5573,0,746,1363,786,0,1415,671,48,1103,310,207,405,0,2935,438,2149,4535,6408,9702,6728,1363,15124,5646,0,1646,4341,6379,1422,535,1427,363,23,8,1788,208,210,306,1594,4334,5157,0
67,1560,2303,19440,1119,983,132,4,93,11904,106,212,1013,106,0,0,106,9748,1649,0,250,638,392,0,665,323,33,503,159,97,170,0,1422,244,1030,1868,2646,2719,2659,638,5148,1676,0,820,1835,2425,411,248,405,156,26,8,439,41,89,268,684,1629,956,0
68,836,2927,29861,2424,2099,319,6,101,19968,252,508,2172,252,0,0,252,11967,662,0,858,1492,835,0,1544,713,50,1216,325,213,441,0,3162,422,2327,5832,5018,4292,8017,1492,5451,1519,0,2157,5696,5145,24,19,16,440,31,8,203,159,223,352,1711,1302,1951,0
69,2007,3525,25164,1475,1277,188,10,98,17323,131,269,1344,131,0,0,131,11022,1634,0,332,868,513,0,920,412,41,707,210,119,233,0,1894,286,1381,3658,3613,4479,5215,868,6293,2120,0,1256,3596,4058,577,18,569,243,27,8,229,83,115,173,869,1705,1275,0
70,2623,3245,24663,1254,1079,169,6,91,15820,92,185,1162,92,0,0,92,11965,2705,0,266,740,427,0,764,362,30,584,173,118,195,0,1594,239,1167,2284,3073,5303,3559,740,7138,2624,0,874,2170,3014,809,217,751,185,25,8,767,43,60,335,658,2260,1150,0
71,1944,4033,25676,1426,1200,223,3,99,16824,135,272,1291,135,0,0,135,11385,1771,0,442,831,500,0,868,419,37,653,210,138,222,0,1831,298,1331,3667,3810,3006,6017,831,6038,2145,0,1025,3401,4215,421,209,416,239,29,8,490,94,117,288,922,1896,1324,0
72,3541,3708,25655,1043,866,172,5,31,15092,14,28,1029,14,0,0,14,14131,3468,0,120,689,327,0,698,311,7,569,125,110,187,0,1343,143,1016,800,2814,3540,2210,689,8277,3244,0,183,820,2568,800,620,799,188,6,0,1062,3,9,275,345,2998,1548,0
73,808,2998,33701,2361,1981,369,11,101,22953,301,610,2060,301,0,0,301,12876,722,0,1026,1414,850,0,1474,709,59,1134,338,214,437,0,3114,476,2264,6959,5635,4144,10014,1414,5894,1663,0,2163,6797,6436,24,19,16,403,41,8,228,205,291,215,2008,1524,2195,0
74,1723,2953,30192,2004,1722,277,5,100,18853,198,399,1806,198,0,0,198,13898,1867,0,652,1216,692,0,1261,591,42,996,262,171,362,0,2600,370,1908,3980,4166,3932,5795,1216,6858,2179,0,1523,4092,4201,602,109,595,298,35,8,241,126,188,293,1394,2619,1490,0
75,3803,4468,29481,1140,996,133,11,92,19866,99,198,1041,99,0,0,99,15487,2133,0,202,655,397,0,692,322,34,523,165,97,173,0,1449,238,1052,2757,3851,4766,4278,655,9151,3747,0,860,2221,3887,532,125,528,157,28,8,786,54,64,276,595,2425,2408,0
76,468,3340,31907,2752,2332,413,7,101,19914,337,682,2415,337,0,0,337,13174,813,0,1169,1683,972,0,1733,842,52,1361,369,252,531,0,3627,537,2655,5814,5113,4629,7942,1683,5754,1474,0,2228,5726,4732,24,19,16,475,53,8,235,206,346,193,2306,1483,2561,0
77,3241,3623,21834,540,468,65,7,46,14825,28,56,512,28,0,0,28,12460,1845,0,71,317,181,0,333,152,13,256,75,51,80,0,679,103,498,927,3139,4559,2239,317,7914,3132,0,249,600,2930,443,431,441,84,11,5,445,15,25,204,229,2585,1443,0
78,1659,3032,25441,1760,1514,240,6,98,17396,159,319,1601,159,0,0,159,11107,862,0,471,1060,606,0,1096,522,37,852,240,164,299,0,2272,331,1666,4185,3957,3254,6050,1060,5947,1912,0,1303,3947,4287,119,19,111,280,31,8,347,90,143,353,1097,1627,1482,0
79,2494,4366,41637,2863,2414,435,14,100,26847,231,472,2632,231,0,0,231,17353,2278,0,881,1791,976,0,1842,841,59,1444,396,278,503,0,3743,483,2767,6540,6782,5078,10696,1791,8296,2873,0,1925,6511,7242,326,417,215,450,24,8,885,177,234,907,1804,2109,2758,0
80,767,3437,33106,2658,2287,365,6,101,22966,259,522,2399,259,0,0,259,12212,776,0,842,1655,906,0,1709,784,48,1370,337,227,499,0,3467,445,2561,6878,6262,4674,10294,1655,5868,1416,0,2278,6835,6569,59,19,51,424,54,8,199,172,246,280,1901,1381,1703,0
81,1421,3539,38098,2630,2238,383,9,100,26182,227,458,2403,227,0,0,227,13506,1978,0,845,1640,894,0,1683,774,53,1332,349,243,471,0,3428,439,2534,8154,7134,5279,12277,1640,6568,2046,0,2002,7238,8328,545,82,538,412,38,8,393,169,202,500,1712,2164,1616,0
82,926,2566,23492,1880,1612,262,6,100,15490,189,379,1691,189,0,0,189,9593,665,0,635,1132,652,0,1175,551,42,909,263,169,320,0,2436,359,1784,4276,4014,3401,6317,1132,4550,1349,0,1522,4048,4021,76,19,71,274,47,8,194,144,184,308,1371,1192,1517,0
83,5116,5709,33429,1446,1245,195,6,74,22760,62,124,1384,62,0,0,62,20100,1251,0,233,903,473,0,931,416,26,745,181,133,243,0,1849,242,1376,1743,4120,5016,2601,903,12258,4906,0,716,1385,3495,120,63,117,236,20,7,728,36,47,299,639,3708,2863,0
